"Crs.Name","Title","Sections.Offered","Terms.w.Sect","avg.Enroll","avg.Cap"
"POE-310","Mock Supreme Court",3,3,8.67,9
"POE-311","Federalists & Anti-Federalists",2,2,8,18
"POE-312","Macroeconomic Policy",1,1,6,25
"POE-321","Comparative Economics",2,2,19.5,30
"POE-326","Myths of the Free Market",1,1,13,25
"POE-335","International Law",1,1,11,30
"POE-339","Environmental Policy Analysis",5,5,23.4,27
"POE-340","Health Care Policy",1,1,15,25
"POE-343","Politics & Ethics Through Film",1,1,15,15
"POE-350","Topics in Political Philsophy",3,3,8.67,25
"POE-350.1","Topics/Politicl Phi:Nietzsche",2,2,9.5,20
"POE-350.3","Relatnl Feminst Political Phil",4,4,9.75,10
"POE-351","Political Econ of Development",3,3,9.67,25
"POE-351","Politics/Developing Countries",4,4,22.25,28.75
"POE-360","Comparative Politics",3,3,20,26.67
"POE-362","Gender and Development",1,1,6,25
"POE-364","State & Local Politics",4,4,12,24
"POE-368","African Political Economy",2,2,9.5,25
"POE-370","Political Economy of China",4,4,13,23.75
"POE-374","Political Economy-SE Asia",3,3,15,25
"POE-374","Political Economy/SE Asia",1,1,6,7
"POE-376","International Economics",2,2,18.5,30
"POE-380","International Political Econ",6,6,13,25.83
"POE-389","Ecological Economics",1,1,29,24
"POE-392","Field Research Methods",2,2,9,20
"POE-399","Model United Nations II",5,5,9,22.4
"POE-399T","Special Topics: Interntl. Law",1,1,11,25
"POE-399T","Special Topics: No.& So. Korea",1,1,8,25
"POE-399T.05","SpTp:Envirnt Polit/N Thailand",1,1,6,6
"POE-498","Senior Sem: Political Economy",4,4,10,25
"POE-498","Senior Seminar:Politics& Econ",3,3,12,30
"POE-499","SR Sem: Int'l Political Econ",5,5,10.8,19.8
"POE-499","SrSem:Internatnl Political Ec",2,2,8.5,25
"PSY-100","General Psychology",37,11,31.27,36.49
"PSY-100D","Intro/Psych Discussion Sem",4,1,20.75,25
"PSY-101","Intro to Psychological Science",30,8,34.33,34.17
"PSY-105","Explorations in Psychology",2,2,36,35
"PSY-128","Human Sexuality & Intimacy",5,5,44,36
"PSY-199T.2","Applied Behavior & Learning",2,2,14,30
"PSY-201","Developmental Psychology",2,1,23,30
"PSY-201","Intro/Developmental Psychology",18,13,35.33,34.72
"PSY-202","Biological Psychology",2,1,7.5,25
"PSY-202","Intro to Biological Psychology",22,13,24,26.05
"PSY-203","Cognitive Psychology",1,1,21,35
"PSY-203","Intro to Cognitive Psychology",11,10,29.45,29.09
"PSY-206","Social Psychology",18,12,29.5,33.89
"PSY-221","Educational Psychology",11,10,22.64,30.45
"PSY-254","Psychology & the Movies",1,1,34,35
"PSY-299T","Applied Behavior and Learning",1,1,14,25
"PSY-299T.1","Positive Psychology",1,1,10,30
"PSY-301","Development of Personality",6,6,40.83,30
"PSY-310","Applied Stats/Behaviorl Scienc",2,2,10,15
"PSY-312","Research Design & Analysis I",12,8,21,22.92
"PSY-312L","Research Des & Analysis I Lab",12,8,21.08,22.92
"PSY-313","Research Design & Analysis II",7,6,10.57,15
"PSY-313L","Research Des & Analysis II Lab",6,5,9.83,16.5
"PSY-314","Qualitative Research Methods",6,5,14.5,25.83
"PSY-320","Advanced Topics in Cognition",1,1,9,15
"PSY-330","Intro to Neuropsychology",6,6,23.5,23
"PSY-330","Neuropsychology",1,1,12,25
"PSY-331","Intro to Psychopharmacology",1,1,8,25
"PSY-336","Psych of Human Vision",1,1,27,25
"PSY-336","Psychology and the Movies",1,1,30,21
"PSY-340","Psych of Child Development",8,8,24.12,27.5
"PSY-341","Psych of Adolescent Developmnt",6,6,23.83,28
"PSY-350","Intro Psychological Counseling",7,7,31.14,28.29
"PSY-360","Environmental Psychology",1,1,22,20
"PSY-364","Community Psychology",1,1,19,20
"PSY-370","Health Psych & Behavioral Med",9,8,31.56,29.33
"PSY-395","Professional Pathways in PSY",4,4,23,27.5
"PSY-397","Vallivue High Counseling INT",1,1,1,5
"PSY-397","Women's Crisis Center",1,1,1,5
"PSY-399T","Community Psychology",1,1,11,30
"PSY-399T","Exprncs of Intersectionality",1,1,12,30
"PSY-399T","Infancy",1,1,10,30
"PSY-399T","Intro to Counseling Skills",1,1,15,15
"PSY-399T","Intro. to Counseling Skills",1,1,21,15
"PSY-399T","Making of Mind",2,2,16.5,25
"PSY-399T","Media Psychology",1,1,24,25
"PSY-399T","Psych of Criminal Behavior",1,1,25,25
"PSY-399T","Psych of Human-Animal Bond",1,1,15,14
"PSY-399T","ST: Intro to Trauma Advocacy",2,1,5,10
"PSY-399T","St: Perception Through Movies",1,1,25,25
"PSY-399T","Vision Through the Movies",1,1,27,25
"PSY-399T","Vision and the Movies",1,1,26,24
"PSY-399T.4","'Film Noir'/Shadow & Psych",1,1,4,25
"PSY-399T.8","ST: Relaionships in Help Prof",1,1,12,15
"PSY-399T.8","SpecTop:Relationshp Help Prof",6,6,7.83,15
"PSY-404","Abnormal Psychology",11,10,32,28.45
"PSY-407","Intro to Forensic Psychology",5,5,24.2,29
"PSY-410","Media Psychology",3,2,25,25
"PSY-490","Qualitative Senior Project",2,2,6,15
"PSY-492","Quantitative Senior Project",2,2,9.5,15
"PSY-496","Collaborative Research",9,7,1.11,3
"PSY-497","Camp Hodia to Service Clubs",1,1,1,15
"PSY-497","Counseling Research Intern",1,1,1,15
"PSY-497","Psychology in Coaching",1,1,1,15
"PSY-497","Special Programs",1,1,1,15
"PSY-497","YMCA Grant Dev. Intern",1,1,1,15
"PSY-498","Psychology Capstone",10,9,23,22.7
"REL-100","Intro to Religious Studies",4,2,25.25,27
"REL-100","Intro to World Religions",15,6,20.27,24.73
"REL-112","New Testament Introduction",10,9,22.9,26.8
"REL-113","Hebrew Bible",1,1,8,24
"REL-115","Introduction/Buddhist Studies",3,2,28.33,26.67
"REL-202","Christianity",4,4,19.25,24.25
"REL-203","Buddhism",6,6,18.67,24.17
"REL-204","Islam",2,2,22.5,24.5
"REL-206","Judaism",3,3,7.67,24
"REL-207","Hinduism",5,3,18.2,24
"REL-210","Japanese Religions",1,1,23,24
"REL-212","Buddhism in America",1,1,26,25
"REL-220","Christian Spirituality",4,4,19.25,22.75
"REL-251","Religion & Science",2,1,25,25
"REL-251.1","Theology & the Sciences",1,1,28,25
"REL-300","Zen",1,1,28,24
"REL-303","Islam:His, Practices, Beliefs",1,1,15,24
"REL-340","Buddhism and Gender",1,1,5,18
"REL-340","Self in Indian Philosophy",1,1,5,18
"REL-340","Topics in Religion: Hinduism",1,1,15,24
"REL-340","Yoga and the Yoga Sutras",1,1,2,18
"REL-340.3","Topics: Spiritual Developmnt",2,2,9,24.5
"REL-343","Relig& the State/Late Im China",1,1,4,12
"REL-348","Religion and Science",4,4,26.5,24
"REL-349","Religion and Nature",1,1,25,24
"REL-350","Religion and Ethics",4,4,22,24
"REL-351","Philosophy of Religion",1,1,10,12
"REL-363","The Rise of Christianity",1,1,12,24
"REL-368","Jewish History",1,1,10,24
"REL-378","Liberation Theology",1,1,1,12
"REL-398","Writing in Religion",3,3,4,10
"REL-498","Religious Studies Seminar",1,1,2,15
"REL-498","Religous Studies Seminar",5,5,9.4,22.8
"REL-499","Senior Thesis",1,1,2,24
"SOC-100","Introduction to Sociology",13,13,35.46,35.38
"SOC-130","A Supposedly Fun Thing",4,4,20.75,30
"SOC-220","Community Corrections",1,1,25,30
"SOC-299T","CJ Processes and Culture",1,1,24,25
"SOC-299T","Community Corrections",1,1,10,25
"SOC-299T","Criminal Justice Processes",1,1,7,30
"SOC-299T","Intro to Criminal Justice",3,3,23.33,26.67
"SOC-304","The Sociology of Religion",4,4,16.75,30
"SOC-320","Family Sociology",6,6,28.83,30
"SOC-325","Social Interaction & Microsoc",3,3,14.33,31.67
"SOC-330","Criminology",1,1,27,25
"SOC-330","Criminology and Deviance",7,7,30,34.29
"SOC-340","Cultural Criminology",1,1,7,20
"SOC-349","Social Stratification",5,5,28.4,29
"SOC-360","Race & Ethnic Relations",1,1,16,40
"SOC-399T","Comparative Justice",1,1,5,25
"SOC-399T","Comparative Justice Systems",1,1,3,25
"SOC-399T","Race, Ethnicity & Gender",1,1,19,25
"SOC-480","Sociological Theories",4,4,17,27.5
"SOC-490","Seminar in Social Research",2,2,3.5,12.5
"SPA-101","Spanish Language & Culture I",27,11,15.19,20
"SPA-101","Spanish Language& Culture I",8,2,17.25,20
"SPA-101REV","Spanish Gram& Phonetic Review",11,6,11.27,19.09
"SPA-102","Spanish Language & Culture II",17,8,15.12,20
"SPA-102","Spanish Language& Culture II",8,2,18,20
"SPA-201","Spanish Language& Culture III",18,11,14.06,20
"SPA-202","Spanish Language & Culture IV",15,11,13.67,20.33
"SPA-202","Spanish Language& Culture IV",2,2,16,20
"SPA-210","Intro to Span for Healthcare",1,1,5,12
"SPA-235","Spanish for Heritage Speakers",7,7,8.14,20
"SPA-299","Intermed Readings in Spanish",4,4,11.75,18.75
"SPA-300","Second Year Grammar Review",4,4,6.5,15
"SPA-301","Spanish Comp & Conversation",6,3,12.33,20
"SPA-301","Spanish Comp & Conversation I",2,1,17.5,20
"SPA-301","Spanish Comp& Conversation I",2,2,25,20
"SPA-302","Spanish Comp & Conversation",6,3,10.5,20
"SPA-302","Spanish Comp & Conversation II",2,1,21.5,20
"SPA-302","Spanish Comp& Conversation II",3,2,15,20
"SPA-305","Professions & Practices",2,2,6.5,17.5
"SPA-307","Caribbean North/Central Am Lit",1,1,13,20
"SPA-308","Peninsular and South Am Lit",1,1,5,20
"SPA-310","Adv Span for Healthcare",1,1,7,12
"SPA-332","Film in Spanish-Speaking World",2,2,10,15
"SPA-333","Literature of Latin America",3,3,11,15
"SPA-334","Literature of Spain",3,3,7.67,15
"SPA-340","Nat'l Traditions Spanish-Speak",2,2,7.5,15
"SPA-342","Latin American Indigenous Stds",1,1,13,20
"SPA-350","Transatlantic Lit and Society",2,2,7.5,15
"SPA-399T","Latin American Literature",1,1,5,15
"SPA-402","Genre Studies",1,1,3,15
"SPA-411","U.S. Latino/A Literature",3,3,6.67,15
"SPA-412","Latin American Indigenous Stds",1,1,3,15
"SPA-421","Transatlantic Lit and Society",1,1,8,15
"SPA-422","Southern Cone",1,1,8,20
"SPA-437","Span Lit & Soc:narrative& Film",1,1,7,15
"SPA-437","Span Lit& Soc:Narrative& Film",1,1,8,15
"SPA-437","Span Lit/Soc:Narrative & Film",1,1,5,25
"SPA-438","Span Lit& Soc:Poet,Drama,Song",1,1,14,25
"SPA-438","Span Lit/Soc:Poet,Drama,Song",1,1,3,20
"SPA-490","Spanish Major Capstone",5,5,3.8,20
"SPE-101","Basic Public Speaking",11,11,17.91,23.27
"SPE-199","Debate I",33,18,3.52,30.61
"SPE-201","Foundations Oral Communication",5,5,10.4,25.2
"SPE-201","Foundations/Oral Communication",1,1,29,30
"SPE-240","Rhetorical Criticism",2,2,6.5,25
"SPE-245","Critical Cultural Methodology",1,1,5,24
"SPE-301","Oral Argumentation",4,4,5.5,27.25
"SPE-305","Paradigms - Intercultural Comm",4,3,6.25,24.25
"SPE-306","Comm Gender & Sexuality",1,1,15,24
"SPE-310","Philosophy of Communication",1,1,9,25
"SPE-399","Debate II",14,14,3.57,30
"STS-110","Effective Studying",7,5,11.71,12.86
"STS-110F","Effective Studying",8,4,13.12,18.5
"STS-110W","Effective Studying",1,1,3,15
"THE-110","Play Reading & Discussion",13,13,10.31,21.15
"THE-115","Introduction to Theatre",4,4,23,33.75
"THE-115","Theatre Appreciation",5,5,15.8,31
"THE-140","Stagecraft",15,15,9.53,14.4
"THE-140L","Stage Craft Lab",55,15,2.62,6.27
"THE-200","Introduction to Film Studies",13,8,32.15,39.38
"THE-201","Play Analysis",7,6,11.57,18.43
"THE-210","Stage Makeup",6,5,8.67,12
"THE-211","Costume Skills",9,9,5.78,6.44
"THE-215","Acting Fundamentals",8,8,11,13.88
"THE-215","Fundamentals of Acting",9,7,14.22,13.78
"THE-216","Voice & Diction",1,1,14,14
"THE-216","Voice and Diction",2,2,6,14
"THE-240","Theatre Ensemble",91,15,3.08,8.74
"THE-250","Scenic Painting",2,2,8.5,13
"THE-260","Stage Management",5,4,7.2,12
"THE-280","Stages of Playwriting",1,1,2,10
"THE-291","Stage Combat",3,3,11.33,16.67
"THE-299T","ST: Stages of Playwriting",1,1,9,12
"THE-302","Applied Theatre: Lighting",4,4,1,12
"THE-303","Applied Theatre: Costuming",7,7,1.29,8.86
"THE-304","Applied Theatre: Management",6,6,1,10
"THE-305","Applied Theatre: Acting",6,6,1.83,16
"THE-306","Applied Theatre: Scenery",11,11,2.45,16.55
"THE-310","Costume Design",2,2,5.5,16
"THE-311","Lighting Design",3,3,3.33,10
"THE-315","Principles of Directing",7,7,5.86,14
"THE-316","Acting Period Styles",1,1,7,12
"THE-320","Theatre History I",2,2,10,22.5
"THE-321","Theatre History II",2,2,9,17
"THE-340","Scenic Design",2,2,6,18.5
"THE-355","Acting Shakespeare",1,1,13,14
"THE-390","Creative Drama",2,2,10,14
"THE-398","Theatre Capstone",1,1,1,25
"THE-398","Theatre Minor Capstone Writing",11,11,2.27,23.18
"THE-415","Acting Contemporary Scene Stds",2,2,9,14
"THE-415","Advanced Acting & Scene Study",1,1,10,14
"THE-490","Theatre Senior Project",13,11,4.46,10.85
"THE-491","Theatre Senior Project",6,4,3.5,8.5
"TWC-300","Leadership Forum",1,1,5,5
"TWC-300","The Washington Center Course",1,1,5,5
"TWC-397","Washington Center Internship",1,1,5,5
